time_span,x,y,z,vx,vy,vz
2460245.500000000, -4.409368279134180E+07, -5.242964097448006E+07, -2.035513997816853E+05,  2.850100713556535E+01, -3.069090444941687E+01, -5.066959880472817E+00
2460246.500000000, -4.154654830060290E+07, -5.498572660673259E+07, -6.424520262409709E+05,  3.042912396340019E+01, -2.845233558326396E+01, -5.088256349185873E+00
2460247.500000000, -3.884124498854215E+07, -5.734217155719509E+07, -1.081997574935276E+06,  3.215897752088154E+01, -2.607389384944275E+01, -5.081643178696101E+00
2460248.500000000, -3.599569212633593E+07, -5.948807003804053E+07, -1.519724367406297E+06,  3.367323264736169E+01, -2.358357397728258E+01, -5.046044528807834E+00
2460249.500000000, -3.302904959791175E+07, -6.141509476456138E+07, -1.953111804816686E+06,  3.496066142173621E+01, -2.101281649669489E+01, -4.981230425456772E+00
2460250.500000000, -2.996115581497069E+07, -6.311772624613279E+07, -2.379657702807982E+06,  3.601687229401892E+01, -1.839489219792681E+01, -4.887859510014901E+00
2460251.500000000, -2.681192072730578E+07, -6.459333582735673E+07, -2.796954866960052E+06,  3.684461474277957E+01, -1.576315016757671E+01, -4.767464877044985E+00
2460252.500000000, -2.360071168522234E+07, -6.584211542338742E+07, -3.202764008427121E+06,  3.745363893532343E+01, -1.314923972204072E+01, -4.622383971042457E+00
2460253.500000000, -2.034577050035826E+07, -6.686685653629094E+07, -3.595078332493961E+06,  3.786011732638833E+01, -1.058141799355744E+01, -4.455636940664098E+00
2460254.500000000, -1.706369827719831E+07, -6.767259061174653E+07, -3.972175651839044E+06,  3.808566210521414E+01, -8.083049566795573E+00, -4.270761004915286E+00
2460255.500000000, -1.376904056306136E+07, -6.826611152209109E+07, -4.332654649302289E+06,  3.815599725754166E+01, -5.671392747106450E+00, -4.071611078838257E+00
2460256.500000000, -1.047399933852353E+07, -6.865540841311559E+07, -4.675452894659288E+06,  3.809936524367000E+01, -3.356749489362055E+00, -3.862138973500785E+00
2460257.500000000, -7.188290713472307E+06, -6.884904287666674E+07, -4.999845346532140E+06,  3.794476462123659E+01, -1.142033801822539E+00, -3.646164801616121E+00
2460258.500000000, -3.919158375241806E+06, -6.885550806300238E+07, -5.305423275480133E+06,  3.772012537543344E+01,  9.772120803933897E-01, -3.427154706680739E+00
2460259.500000000, -6.715433936091417E+05, -6.868260870663998E+07, -5.592054754191764E+06,  3.745053263260669E+01,  3.012351724812392E+00, -3.208018661413902E+00
2460260.500000000,  2.551598500875195E+06, -6.833690002759369E+07, -5.859829001994159E+06,  3.715660659554302E+01,  4.980764056564087E+00, -2.990940874143158E+00
2460261.500000000,  5.748850005340405E+06, -6.782322015179968E+07, -6.108987874333669E+06,  3.685313713251785E+01,  6.904579524503847E+00, -2.777253374209277E+00
2460262.500000000,  8.919781419684855E+06, -6.714434527619641E+07, -6.339848592671525E+06,  3.654805606044854E+01,  8.809116568187530E+00, -2.567360740439348E+00
2460263.500000000,  1.206432795245287E+07, -6.630078961966457E+07, -6.552722367801387E+06,  3.624180973468785E+01,  1.072111014043089E+01, -2.360720850339876E+00
2460264.500000000,  1.518213158776112E+07, -6.529076369288337E+07, -6.747833846522421E+06,  3.592717035197987E+01,  1.266683646384045E+01, -2.155883151288297E+00
2460265.500000000,  1.827188612804301E+07, -6.411029511095345E+07, -6.925246291706707E+06,  3.558949787917057E+01,  1.467024422431030E+01, -1.950582495849975E+00
2460266.500000000,  2.133072388244616E+07, -6.275350663400267E+07, -7.084797091113821E+06,  3.520743737067827E+01,  1.675120166390612E+01, -1.741883253782153E+00
2460267.500000000,  2.435368001211733E+07, -6.121303693836340E+07, -7.226047600965079E+06,  3.475401030776624E+01,  1.892396157822433E+01, -1.526365417879019E+00
2460268.500000000,  2.733326593007588E+07, -5.948058135758930E+07, -7.348250503315862E+06,  3.419803509886433E+01,  2.119593251037801E+01, -1.300341943818270E+00
2460269.500000000,  3.025917667717592E+07, -5.754752299511193E+07, -7.450336843304612E+06,  3.350579248243385E+01,  2.356682531215898E+01, -1.060094758248443E+00
2460270.500000000,  3.311814926522924E+07, -5.540561961708687E+07, -7.530923776540458E+06,  3.264283748637978E+01,  2.602822089591568E+01, -8.021158460969371E-01
2460271.500000000,  3.589398009366930E+07, -5.304770888903641E+07, -7.588342868946768E+06,  3.157585171548230E+01,  2.856357887778778E+01, -5.233396510285235E-01
2460272.500000000,  3.856770026861221E+07, -5.046839399363580E+07, -7.620687625294145E+06,  3.027442858078538E+01,  3.114867954490666E+01, -2.213537034597248E-01
2460273.500000000,  4.111789857169304E+07, -4.766467348443139E+07, -7.625877851084078E+06,  2.871268976437099E+01,  3.375246488228774E+01,  1.054241135389109E-01
2460274.500000000,  4.352117352114289E+07, -4.463648326812735E+07, -7.601737542159231E+06,  2.687064342425924E+01,  3.633821997128571E+01,  4.576110322333129E-01
2460275.500000000,  4.575268897576084E+07, -4.138712460011855E+07, -7.546082304053500E+06,  2.473521267831649E+01,  3.886501550972000E+01,  8.347741741691053E-01
2460276.500000000,  4.778680251274540E+07, -3.792355952889630E+07, -7.456811871425025E+06,  2.230088568605895E+01,  4.128931688902241E+01,  1.235397999930250E+00
2460277.500000000,  4.959773271480324E+07, -3.425656383159451E+07, -7.332003152859325E+06,  1.956996478221451E+01,  4.356665629783200E+01,  1.656904409050464E+00
2460278.500000000,  5.116023075117479E+07, -3.040073656142835E+07, -7.169999374828549E+06,  1.655241996896569E+01,  4.565326245902216E+01,  2.095722103577909E+00
2460279.500000000,  5.245022330258006E+07, -2.637437424581721E+07, -6.969491327507675E+06,  1.326537983892097E+01,  4.750754820920422E+01,  2.547398737667507E+00
2460280.500000000,  5.344539787246928E+07, -2.219922588624617E+07, -6.729587391165939E+06,  9.732318782809516E+00,  4.909136913286829E+01,  3.006746783924903E+00
2460281.500000000,  5.412570759249497E+07, -1.790015159657746E+07, -6.449869892483289E+06,  5.982021229161725E+00,  5.037098636170888E+01,  3.468012167125767E+00
2460282.500000000,  5.447378035260306E+07, -1.350471241796227E+07, -6.130436335795237E+06,  2.047419828086654E+00,  5.131769248393848E+01,  3.925053729073987E+00
2460283.500000000,  5.447522589597604E+07, -9.042721111035455E+06, -5.771925091447636E+06, -2.035586770352785E+00,  5.190808985332922E+01,  4.371521632523148E+00
2460284.500000000,  5.411884370905207E+07, -4.545783238905665E+06, -5.375526109188145E+06, -6.229231052189529E+00,  5.212404353221497E+01,  4.801023965701702E+00
2460285.500000000,  5.339674328635521E+07, -4.685449406638974E+04, -4.942978062327681E+06, -1.049479338862923E+01,  5.195236421934334E+01,  5.207273072236784E+00
2460286.500000000,  5.230439576078620E+07,  4.420165901716358E+06, -4.476553925954932E+06, -1.479326394404612E+01,  5.138430682769055E+01,  5.584206402660470E+00
2460287.500000000,  5.084064104045920E+07,  8.820794392655334E+06, -3.979037271632979E+06, -1.908570666615470E+01,  5.041499436672754E+01,  5.926080731817049E+00
